id,text,url,HS,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
1,"gw ngeclip ini karena tragedi nya ada bang bintang emon, gw fans dia dari jaman dia juara stand up cuy, dan gw gapunya kebencian sama siapapun sebenernya, gw bacain komen kalian kok ton dan gw juga udah cari tau siapa bigmo ini, so untuk clip ini kalo bro penonton tidak suka boleh skip ajaa yak, bukan mau ngasih panggung atau  gimana, sebagai clippers mau ngasih tau yang terjadi di stream tersebut so ty dan sory kalo clip ini mengganggu kalian, dan thanks juga udah nonton. gua ga niatan tertentu, untuk clip ini kalian aja yang nilai gimana jadi kalian bebas mau beropini gimana pun thankss yak",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
2,gak jelas nih orang... lu gak ngehargain bintang tamu.. minim attitude.. gak ada sopan2nya..,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
3,Wong stresss,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
4,Konten gk jelas,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
5,Orang Tablo di kasih panggung,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
6,Norak banget,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
7,kecilnya tuh bocah gk di bedong,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
8,Pemikiran lu sombong,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
9,ESQ Rendah tuh yg pake kaca mata,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,0,1,0,0,1,0,0,0,1,0
10,BNN,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
11,Iki sing rewel kare arek suroboyo za kayake...tulul,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
12,"Dia kira dia asik, padahal boring dan gak enak sama sekali di ajak ngobrol, kayak anang",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
13,"Skolahan kejauhan, otak cetek😂",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
14,Semonga gk punya temen kayak  gini,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
15,Sumpah Binta Emon keren,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
16,make ni orang satt,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
17,Jatuh nih orang kalo gini trus,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
18,Keren sikap bang Emon.,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
19,Jelas gk gimic,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
20,"“Gua lebih sulit” 
Quotes of the fuckin century 💪🏻🤪",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
21,Ini orang yg kacamata omongannya gak ada yg berisi,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,1,0,1,1,0,0
22,Ni contoh org gtau diri sih,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
23,"Nah teman2, demikian bentuk salah satu orang yang kurang rasa bersyukur",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
24,Ih seyem wkwkwk,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
25,"Asli ogah bgt temenan ma org gini, temennya gpp difitnah nahan tawa",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
26,"Ga ngehargain tamu nya ini sih, yg nonton aja bisa ngerasa, apalagi si bintang",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
