No.,text,sumber
1,Ini kan dpr yg tolol itu ya??,https://x.com/noorahmadbaji/status/1959267877166416159
2,"hok cuh, najis dh gua. semoga lu dpt adzab di dunia dan di akhirat",https://x.com/dlycicaa/status/1961335689473404991
3,"Lo harus mati, babi",https://x.com/makansatedimana/status/1962052706857889817
4,"Tgl merah pun klien minta meeting, dasar cina😒",https://x.com/xiaoobi/status/1930944914696937832
5,"Wajar kan kalo gw pen nampol elu.
Itu pacar lo kate babu?
Dasar cewek stress.",https://x.com/BabyKyu36066230/status/1310272775064485888
6,Hahahahah kalo daging babi baru haram,https://x.com/Carles996885355/status/1980231085331234996
7,Mata sipit dagu lancip kayak korea,https://x.com/agus_sute47153/status/1977429586360295684
8,kenapa pada ngira gw batak dah 😂😂 mata gw kurang sipit ape? haha,https://x.com/akukokoleo/status/1977367882985058466
9,Otak udang..kepala batu,https://x.com/CakTugiman/status/1977987649735676068
10,benci kali sm prabowo sumpah,https://x.com/hu8huo/status/1977973801402184115
11,Andaikan saya timothy ronald,https://x.com/anandarazzaqy/status/1977693142267859158
12,ketawanya lepas banget,
13,Wkwk babinya lucu bang bawa pulang 😭,https://x.com/Jerryzx_/status/1904620137841647737
14,"Para pelaku bullying timothi ramai-2 minta maaf, nasi sudah menjadi rengginang, nyawa timoty tak akan kembali",https://x.com/P3gEl/status/1979345530208837876
15,"Najis, muka lo kek setan",https://x.com/regiinage0rge/status/1972616320006119926
16,"Nangis banget ngelihat kematian timoty, gak tega baca kisah dia dibully 😭",https://x.com/hajicing/status/1979559666742137240
17,"Jangan malu karena muka lo jelek 
Malu lah ketika kau datang kesiangan",https://x.com/salbrutamol/status/1975051893761282281
18,"Aku bangga sebagai Orang kulit hitam,karna hitam itu Ciri khas Kami Orang Timur,Maluku,Papua",https://x.com/KatjeSyahrul/status/1267762885175832577
19,"Islam jelek.
Ideologi laknat.
Perusak & pembunuh manusia.",https://x.com/WorldWimWeb/status/1936321222239039521
20,jadi bahan bakar neraka sama dengan orang kafir kristen,https://x.com/Udee75187/status/1975208731664437326
21,tangkap penjarakan hukum seberat beratnya,https://youtu.be/9h8ar-SZFPQ?si=M63iVR2Nl6MVqfa-
22,Adili Jokowi dan siapa saja yang terlibat korupsi....,https://youtu.be/s_S3OJA-kcY?si=kivZeMPOJ1s9okG6
23,JokoWHOOSH tunjukkan Ijasah mu dan bayar hutang WHOOSH,https://youtu.be/s_S3OJA-kcY?si=yON8Q3mBx1piZxOA
